,Address,Content Type,Status Code,Status,Indexability,Indexability Status,Title 1,Title 1 Length,Title 1 Pixel Width,Meta Description 1,Meta Description 1 Length,Meta Description 1 Pixel Width,Meta Description 2,Meta Description 2 Length,Meta Description 2 Pixel Width,Meta Keywords 1,Meta Keywords 1 Length,H1-1,H1-1 Length,H1-2,H1-2 Length,H2-1,H2-1 Length,H2-2,H2-2 Length,Meta Robots 1,X-Robots-Tag 1,Meta Refresh 1,Canonical Link Element 1,"rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1",amphtml Link Element,Size (bytes),Word Count,Text Ratio,Crawl Depth,Link Score,Inlinks,Unique Inlinks,Unique JS Inlinks,% of Total,Outlinks,Unique Outlinks,Unique JS Outlinks,External Outlinks,Unique External Outlinks,Unique External JS Outlinks,Closest Similarity Match,No. Near Duplicates,Spelling Errors,Grammar Errors,Hash,Response Time,Last Modified,Redirect URL,Redirect Type,Cookies,HTTP Version,URL Encoded Address,Crawl Timestamp
912,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u6025549,text/html; charset=UTF-8,200,OK,Non-Indexable,Canonicalised,"Benjamin A. Ingraham, DO - Physical Medicine & Rehabilitation , Traumatic Brain Injury , Physical Medicine and Rehabilitation | University of Utah Health",153,1345,,0,0,,0,0,,0,"Benjamin A. Ingraham, DO",24,,0,,0,Specialties,11,"index,follow",,,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u6025549&name=benjamin-a-ingraham,,,,,,43702,648,12.34,3,,9,2,0,0.05,41,27,0,12,10,0,,,,,904a542603d03f70857255e533cab470,0.426,,,,,1.1,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u6025549,2022-01-31 15:41:52
913,https://healthcare.utah.edu/patient-stories/stories/donat.php,text/html; charset=UTF-8,200,OK,Indexable,,U Health Experts Get Utah Man's Irregular Heartbeat Back Under Control | University of Utah Health,98,875,,0,0,,0,0,,0,U Health Experts Get Utah Man's Irregular Heartbeat Back Under Control,70,,0,,0,,0,"index,follow",,,,,,,,,29373,641,17.176,3,,15,8,0,0.21,57,31,0,10,9,0,,,,,d5c76f5c841d64c2b94231c4231c63a7,0.092,,,,,1.1,https://healthcare.utah.edu/patient-stories/stories/donat.php,2022-01-31 15:41:52
914,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u0124654,text/html; charset=UTF-8,200,OK,Non-Indexable,Canonicalised,"Elisha Haroldsen, MPAS, PA-C - Physician Assistant , Surgery, General , Surgery | University of Utah Health",107,952,Elisha Haroldsen is a Physician Assistant with the University of Utah’s Trauma Service. The Trauma Service provides care to patients who have been injured by,157,992,,0,0,,0,"Elisha Haroldsen, MPAS, PA-C",28,,0,,0,Specialties,11,"index,follow",,,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u0124654&name=elisha-haroldsen,,,,,,28739,483,15.161,3,,9,2,0,0.05,38,25,0,11,10,0,,,,,1ae9b38f189ad0ced4424ad9ca6b8b76,0.137,,,,,1.1,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u0124654,2022-01-31 15:41:53
915,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u0756930,text/html; charset=UTF-8,302,Found,Non-Indexable,Redirected,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,88,0,0.0,3,,1,1,0,0.03,0,0,0,0,0,0,,,,,,15.051,,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u0756930&name=meredith-s-bannon,HTTP Redirect,,1.1,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u0756930,2022-01-31 15:41:38
916,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u0573830,text/html; charset=UTF-8,200,OK,Non-Indexable,Canonicalised,"Melissa Cortez, DO - Autonomic Neurology , Autoimmune Neurology , Neurology | University of Utah Health",103,943,"Melissa Cortez, DO, is a neurologist who has specialized expertise in neurological diseases affecting the autonomic nervous system (autonomic neurology), as we",159,1007,,0,0,,0,"Melissa Cortez, DO",18,,0,,0,Specialties,11,"index,follow",,,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u0573830&name=melissa-cortez,,,,,,55146,1874,25.284,3,,9,2,0,0.05,51,37,0,25,23,0,,,,,f88ead33af98591c4b7d967318953b13,0.426,,,,,1.1,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u0573830,2022-01-31 15:41:53
917,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u6025548,text/html; charset=UTF-8,200,OK,Non-Indexable,Canonicalised,"Andrew A. Joyce, MD - Acute Pain , Arthritis Rehabilitation , Physical Medicine and Rehabilitation | University of Utah Health",126,1087,"Andrew A. Joyce, MD, is a Physical Medicine & Rehabilitation (PM&R) specialist who focuses in the non-operative treatment of various spine and musculos",151,965,,0,0,,0,"Andrew A. Joyce, MD",19,,0,,0,Specialties,11,"index,follow",,,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u6025548&name=andrew-a-joyce,,,,,,83706,2033,17.013,3,,9,2,0,0.05,54,36,0,14,12,0,,,,,269b1d16a826edfff47a5923c204a4cf,0.13,,,,,1.1,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u6025548,2022-01-31 15:41:54
918,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u0112603,text/html; charset=UTF-8,302,Found,Non-Indexable,Redirected,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,88,0,0.0,3,,1,1,0,0.03,0,0,0,0,0,0,,,,,,2.674,,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u0112603&name=randy-l-jensen,HTTP Redirect,,1.1,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u0112603,2022-01-31 15:41:53
919,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u0980288,text/html; charset=UTF-8,302,Found,Non-Indexable,Redirected,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,88,0,0.0,3,,1,1,0,0.03,0,0,0,0,0,0,,,,,,14.841,,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u0980288&name=joanne-turner,HTTP Redirect,,1.1,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u0980288,2022-01-31 15:41:41
920,https://healthcare.utah.edu/about/images/awards-logos/ibm-watson-100-top-hospitals-2020.jpg,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,56285,0,0.0,3,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.473,,,,,1.1,https://healthcare.utah.edu/about/images/awards-logos/ibm-watson-100-top-hospitals-2020.jpg,2022-01-31 15:41:56
921,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u0630842,text/html; charset=UTF-8,200,OK,Non-Indexable,Canonicalised,"Christopher A. Gee, MD, MPH - Sports Medicine: Non-Surgical , Concussion , Orthopaedics | University of Utah Health",115,1043,Dr. Gee is Board Certified in Primary Care Sports Medicine and Emergency Medicine who focuses on the treatment of non-operative musculoskeletal conditions at t,159,1016,,0,0,,0,"Christopher A. Gee, MD, MPH",27,,0,,0,Specialties,11,"index,follow",,,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u0630842&name=christopher-a-gee,,,,,,104236,2448,16.273,3,,11,3,0,0.08,78,55,0,14,12,0,,,,,1c70044e87cf40282a765957c31103b2,0.42,,,,,1.1,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u0630842,2022-01-31 15:41:56
922,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u0009748,text/html; charset=UTF-8,200,OK,Non-Indexable,Canonicalised,"Nicholas Pierson, MD - Neuroradiology , Head and Neck Imaging , Radiology and Imaging Sciences | University of Utah Health",122,1113,,0,0,,0,0,,0,"Nicholas Pierson, MD",20,,0,,0,Specialties,11,"index,follow",,,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u0009748&name=nicholas-pierson,,,,,,27680,201,9.033,3,,10,2,0,0.05,39,25,0,11,10,0,,,,,89b09ddee298dc405d46d875a9772861,0.423,,,,,1.1,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u0009748,2022-01-31 15:41:56
923,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u0031642,text/html; charset=UTF-8,200,OK,Non-Indexable,Canonicalised,"Raymond R. Price, MD, FACS - Surgery, General , , Surgery | University of Utah Health",85,767,,0,0,,0,0,,0,"Raymond R. Price, MD, FACS",26,,0,,0,Specialties,11,"index,follow",,,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u0031642&name=raymond-r-price,,,,,,31163,284,9.962,3,,9,2,0,0.05,39,26,0,11,10,0,,,,,757c959614e801e0cd4555d94f41a556,0.11,,,,,1.1,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u0031642,2022-01-31 15:41:56
924,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u0921054,text/html; charset=UTF-8,200,OK,Non-Indexable,Canonicalised,"Jane M. Porretta, MD, FACS - Breast Cancer , Breast Cancer Surgery , Surgery | University of Utah Health",104,932,"Jane Porretta, M.D. is a board certified general surgeon specializing in breast surgery. She received her medical degree from Wayne State University in Detroit",159,988,,0,0,,0,"Jane M. Porretta, MD, FACS",26,,0,,0,Specialties,11,"index,follow",,,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u0921054&name=jane-m-porretta,,,,,,83694,2344,19.13,3,,9,2,0,0.05,49,32,0,13,11,0,,,,,355a7d343494a61cfa8f7c7f6f78b147,0.129,,,,,1.1,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u0921054,2022-01-31 15:41:56
925,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u0544468,text/html; charset=UTF-8,200,OK,Non-Indexable,Canonicalised,"Katharine Kilbourne, DPT - Spinal Cord Injury , Multiple Sclerosis , Therapy Services | University of Utah Health",113,979,"Kiki Kilbourne PT,DPT, NCS is a Doctor of Physical Therapy focusing on treatment of both progressive and non-progressive neurologic diagnoses. Kiki is a 2012 g",159,1008,,0,0,,0,"Katharine Kilbourne, DPT",24,,0,,0,Specialties,11,"index,follow",,,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u0544468&name=katharine-kilbourne,,,,,,33027,628,16.459,3,,9,2,0,0.05,43,29,0,12,10,0,,,,,b0472bf0677e4c0da809c2cfdfa8ed72,0.114,,,,,1.1,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u0544468,2022-01-31 15:41:57
926,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u0030323,text/html; charset=UTF-8,302,Found,Non-Indexable,Redirected,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,88,0,0.0,3,,1,1,0,0.03,0,0,0,0,0,0,,,,,,15.036,,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u0030323&name=scott-p-richardson,HTTP Redirect,,1.1,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u0030323,2022-01-31 15:41:42
927,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u1123153,text/html; charset=UTF-8,200,OK,Non-Indexable,Canonicalised,"Anna C. Farrell, PT - Physical Therapy , , Therapy Services | University of Utah Health",87,757,,0,0,,0,0,,0,"Anna C. Farrell, PT",19,,0,,0,Specialties,11,"index,follow",,,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u1123153&name=anna-c-farrell,,,,,,26157,123,7.48,3,,9,2,0,0.05,37,24,0,11,10,0,,,,,c00354194ebfec8d9116f4f2e361edd0,0.122,,,,,1.1,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u1123153,2022-01-31 15:41:57
928,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u0955289,text/html; charset=UTF-8,200,OK,Non-Indexable,Canonicalised,"Rebecca Powell, MD - , , Outpatient Clinics | University of Utah Health",71,614,,0,0,,0,0,,0,"Rebecca Powell, MD",18,,0,,0,Specialties,11,"index,follow",,,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u0955289&name=rebecca-powell,,,,,,26427,123,7.422,3,,9,2,0,0.05,38,24,0,13,11,0,,,,,44519a975eb96ed2723256da9064daca,0.142,,,,,1.1,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u0955289,2022-01-31 15:41:57
929,https://healthcare.utah.edu/womenshealth/services-treatments.php,text/html; charset=UTF-8,200,OK,Indexable,,"Conditions, Services, & Treatments | University of Utah Health",62,546,"View all the conditions, services, programs, and treatments that University of Utah Women's Health has to offer. These range from infertility to maternal fetal medicine and gynecology to care for incontinence. We offer the highest quality health care that Utah has to offer.",274,1669,,0,0,,0,"Conditions, Services, & Treatments",34,,0,,0,,0,"index,follow",,,,,,,,,36194,199,6.337,3,,13,6,0,0.16,83,66,0,12,11,0,,,,,9de33f14b4defc7a238a8f3f85b4acad,0.097,,,,,1.1,https://healthcare.utah.edu/womenshealth/services-treatments.php,2022-01-31 15:41:57
930,http://healthcare.utah.edu/spine/treatments/spine-surgery/,text/html; charset=iso-8859-1,301,Moved Permanently,Non-Indexable,Redirected,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,352,0,0.0,3,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.242,,https://healthcare.utah.edu/spine/treatments/spine-surgery/,HTTP Redirect,,1.1,http://healthcare.utah.edu/spine/treatments/spine-surgery/,2022-01-31 15:41:57
931,https://healthcare.utah.edu/locations/hospital/services/spiritual/index.php,text/html; charset=iso-8859-1,301,Moved Permanently,Non-Indexable,Redirected,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,358,0,0.0,3,,1,1,0,0.03,0,0,0,0,0,0,,,,,,0.077,,http://healthcare.utah.edu/locations/hospital/services/spiritual/,HTTP Redirect,,1.1,https://healthcare.utah.edu/locations/hospital/services/spiritual/index.php,2022-01-31 15:41:57
932,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u6033155,text/html; charset=UTF-8,200,OK,Non-Indexable,Canonicalised,"Corey M. Rowley, MS, RDN, CD - Clinical Nutritionist/Dietitian , , Outpatient Clinics | University of Utah Health",113,964,,0,0,,0,0,,0,"Corey M. Rowley, MS, RDN, CD",28,,0,,0,Specialties,11,"index,follow",,,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u6033155&name=corey-m-rowley,,,,,,25043,113,7.184,3,,9,2,0,0.05,37,24,0,11,10,0,,,,,543c21725b59ee0c1900612671d87a01,0.114,,,,,1.1,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u6033155,2022-01-31 15:41:57
933,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u6014896,text/html; charset=UTF-8,200,OK,Non-Indexable,Canonicalised,"Kaitlan L. Herman, PA-C - Physician Assistant , Pulmonary , Internal Medicine | University of Utah Health",105,919,,0,0,,0,0,,0,"Kaitlan L. Herman, PA-C",23,,0,,0,Specialties,11,"index,follow",,,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u6014896&name=kaitlan-l-herman,,,,,,26540,128,7.485,3,,9,2,0,0.05,40,26,0,11,10,0,,,,,d808fb74ebc1d5f9fb2a8568060b2ada,0.434,,,,,1.1,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u6014896,2022-01-31 15:41:57
934,https://healthcare.utah.edu/huntsmancancerinstitute/clinical-trials/rise-up.php,text/html; charset=UTF-8,200,OK,Indexable,,Risk Information and Skin-Cancer Education in Undergraduate Prevention Study | University of Utah Health,104,942,,0,0,,0,0,,0,RISE-UP Study,13,,0,What is the Risk Information and Skin-Cancer Education in Undergraduate Prevention (RISE-UP) Study?,99,,0,"index,follow",,,https://healthcare.utah.edu/huntsmancancerinstitute/clinical-trials/rise-up.php,,,,,,74682,447,8.935,3,,26,2,0,0.05,163,51,0,41,18,0,,,,,2d8cb7e6311f7a88dbcb4397f722f308,0.417,,,,,1.1,https://healthcare.utah.edu/huntsmancancerinstitute/clinical-trials/rise-up.php,2022-01-31 15:41:57
935,https://healthcare.utah.edu/patient-stories/images/cruikshank-banner.jpg,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,155883,0,0.0,3,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.089,,,,,1.1,https://healthcare.utah.edu/patient-stories/images/cruikshank-banner.jpg,2022-01-31 15:41:58
936,https://healthcare.utah.edu/neurosciences/neurology,text/html; charset=iso-8859-1,301,Moved Permanently,Non-Indexable,Redirected,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,344,0,0.0,3,,17,14,0,0.36,0,0,0,0,0,0,,,,,,0.333,,http://healthcare.utah.edu/neurosciences/neurology/,HTTP Redirect,,1.1,https://healthcare.utah.edu/neurosciences/neurology,2022-01-31 15:41:58
937,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u0311081,text/html; charset=UTF-8,200,OK,Non-Indexable,Canonicalised,"William T. Couldwell, MD, PhD, FACS - Neurosurgery , Lateral Skull Base Surgery , Neurosurgery | University of Utah Health",122,1097,"Dr. Couldwell specializes in Neurosurgery, Brain Tumors, Brain Aneurysms, Skull Base Surgery, Stroke, Traumatic Brain Injury, Head Trauma and Neuro Critical Ca",159,1007,,0,0,,0,"William T. Couldwell, MD, PhD, FACS",35,,0,"Chair, Department of Neurosurgery",33,Specialties,11,"index,follow",,,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u0311081&name=william-t-couldwell,,,,,,136389,7752,40.614,3,,11,3,0,0.08,59,45,0,159,157,0,,,,,7ebe357cbce97f9ddb7cec47cf6885bb,0.135,,,,,1.1,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u0311081,2022-01-31 15:41:58
938,https://healthcare.utah.edu/urology/services/when-to-see-a-pediatric-urologist.php,text/html; charset=UTF-8,200,OK,Indexable,,When to See A Pediatric Urologist | University of Utah Health,61,535,,0,0,,0,0,,0,When to See A Pediatric Urologist,33,,0,What Does A Pediatric Urologist Do?,35,Pediatric Urologists Near You,29,"index,follow",,,,,,,,,37700,876,17.215,3,,13,2,0,0.05,46,27,0,11,10,0,,,,,bee0beaebb98853f1545ff224ff04b1b,0.404,,,,,1.1,https://healthcare.utah.edu/urology/services/when-to-see-a-pediatric-urologist.php,2022-01-31 15:41:58
939,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u6005967,text/html; charset=UTF-8,200,OK,Non-Indexable,Canonicalised,"Amie A. Long, APRN - Nurse Practitioner , Endocrinology & Metabolism , Internal Medicine | University of Utah Health",116,1030,,0,0,,0,0,,0,"Amie A. Long, APRN",18,,0,,0,Specialties,11,"index,follow",,,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u6005967&name=amie-a-long,,,,,,25970,129,7.476,3,,10,2,0,0.05,38,24,0,12,10,0,,,,,ade3d43a5dbe176816b53122ca1ee1a,0.427,,,,,1.1,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u6005967,2022-01-31 15:41:58
940,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u0513310,text/html; charset=UTF-8,200,OK,Non-Indexable,Canonicalised,"Ingrid E. Nygaard, MD, MS - Epidemiology , Incontinence , Obstetrics/Gynecology | University of Utah Health",107,953,"Ingrid Nygaard, MD, MS (Epidemiology), is a tenured Professor of Obstetrics and Gynecology at the University of Utah. She no longer has a clinical practice, but",160,993,,0,0,,0,"Ingrid E. Nygaard, MD, MS",25,,0,,0,Specialties,11,"index,follow",,,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u0513310&name=ingrid-e-nygaard,,,,,,48241,1858,27.556,3,,9,2,0,0.05,43,27,0,41,39,0,,,,,ee2ca9d85fc9537c617e0aa5798a53a1,0.132,,,,,1.1,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u0513310,2022-01-31 15:41:59
941,https://healthcare.utah.edu/moran/what-to-expect-during-eye-exam.php,text/html; charset=UTF-8,200,OK,Indexable,,What to Expect During an Eye Exam | University of Utah Health,61,557,"At the Moran Eye Center, a routine eye exam uses a wide range of tests and procedures to evaluate your vision and the health of your eyes. Learn more about what to expect during your exam.",188,1196,,0,0,,0,What to Expect During an Eye Exam,33,,0,What Happens During an Eye Exam?,32,Tests During Your Eye Exam,26,"index,follow",,,,,,,,,90441,1148,8.766,3,,18,3,0,0.08,58,34,0,14,13,0,,,,,4e678a21489f631cae73a629068fe1b3,1.701,,,,,1.1,https://healthcare.utah.edu/moran/what-to-expect-during-eye-exam.php,2022-01-31 15:41:57
942,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u0591688,text/html; charset=UTF-8,200,OK,Non-Indexable,Canonicalised,"Julie Fitzwilliam, APRN - Nurse Practitioner , Psychiatry , Psychiatry | University of Utah Health",98,832,,0,0,,0,0,,0,"Julie Fitzwilliam, APRN",23,,0,,0,Specialties,11,"index,follow",,,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u0591688&name=julie-fitzwilliam,,,,,,26721,129,7.468,3,,10,2,0,0.05,38,24,0,12,10,0,,,,,73033d772ee3e24cc1fa7f9d31f2995f,0.141,,,,,1.1,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u0591688,2022-01-31 15:41:59
943,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u0535586,text/html; charset=UTF-8,200,OK,Non-Indexable,Canonicalised,"Molly W. Beck, APRN - Nurse Practitioner , Reproductive Endocrinology & Infertility , Obstetrics/Gynecology | University of Utah Health",135,1182,,0,0,,0,0,,0,"Molly W. Beck, APRN",19,,0,,0,Specialties,11,"index,follow",,,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u0535586&name=molly-w-beck,,,,,,26067,126,7.521,3,,10,2,0,0.05,38,24,0,12,10,0,,,,,7971c4fc4dab318a3b7ba30863dbf873,0.45,,,,,1.1,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u0535586,2022-01-31 15:41:59
944,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u0904501,text/html; charset=UTF-8,200,OK,Non-Indexable,Canonicalised,"Michael M. Green, DO - Pediatric Traumatic Brain Injury , Pediatric Spinal Cord Injury , Physical Medicine and Rehabilitation | University of Utah Health",153,1325,Dr. Michael Green is currently an associate professor (Clinical) of Physical Medicine and Rehabilitation (Department of PMR with adjunct in the Department of P,159,991,,0,0,,0,"Michael M. Green, DO",20,,0,,0,Specialties,11,"index,follow",,,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u0904501&name=michael-m-green,,,,,,45416,1340,24.027,3,,9,2,0,0.05,48,33,0,15,12,0,,,,,88ac8c22f737f13353e257dd276a950,0.15,,,,,1.1,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u0904501,2022-01-31 15:41:59
945,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u0526623,text/html; charset=UTF-8,200,OK,Non-Indexable,Canonicalised,"Nicholas Cheek-O'Donnell, LCSW - Adult Behavioral Health , Social Work , Social Services | University of Utah Health",116,1037,,0,0,,0,0,,0,"Nicholas Cheek-O'Donnell, LCSW",30,,0,,0,Specialties,11,"index,follow",,,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u0526623&name=nicholas-cheek-o%27donnell,,,,,,26420,121,7.375,3,,10,2,0,0.05,38,24,0,11,10,0,,,,,5af9d4ed903b3f8f24a8b9eb42a01db6,0.419,,,,,1.1,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u0526623,2022-01-31 15:42:02
946,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u0853165,text/html; charset=UTF-8,302,Found,Non-Indexable,Redirected,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,88,0,0.0,3,,1,1,0,0.03,0,0,0,0,0,0,,,,,,15.063,,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u0853165&name=amanda-m-crawford,HTTP Redirect,,1.1,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u0853165,2022-01-31 15:41:47
947,https://healthcare.utah.edu/policies/copyright.php,text/html; charset=iso-8859-1,301,Moved Permanently,Non-Indexable,Redirected,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,324,0,0.0,3,,2,2,0,0.05,0,0,0,0,0,0,,,,,,0.075,,http://www.utah.edu/disclaimer/,HTTP Redirect,,1.1,https://healthcare.utah.edu/policies/copyright.php,2022-01-31 15:42:02
948,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u0600129,text/html; charset=UTF-8,200,OK,Non-Indexable,Canonicalised,"Russell J. Osguthorpe, MD - Pediatric Infectious Diseases , , Pediatrics | University of Utah Health",100,858,Dr. Osguthorpe currently serves as the Chief Medical Officer of doTERRA International and Prime Meridian Healthcare. He is establishing a nationwide network of,159,1002,,0,0,,0,"Russell J. Osguthorpe, MD",25,,0,,0,Specialties,11,"index,follow",,,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u0600129&name=russell-j-osguthorpe,,,,,,30911,385,12.675,3,,9,2,0,0.05,37,24,0,16,14,0,,,,,44d1eb6b274f5af6cdbdb6ad3e02f8c2,0.441,,,,,1.1,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u0600129,2022-01-31 15:42:02
949,https://healthcare.utah.edu/publicaffairs/news,text/html; charset=iso-8859-1,301,Moved Permanently,Non-Indexable,Redirected,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,339,0,0.0,3,,12,12,0,0.31,0,0,0,0,0,0,,,,,,0.077,,http://healthcare.utah.edu/publicaffairs/news/,HTTP Redirect,,1.1,https://healthcare.utah.edu/publicaffairs/news,2022-01-31 15:42:03
950,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u6036234,text/html; charset=UTF-8,200,OK,Non-Indexable,Canonicalised,"Reilly Philliben, DO - , , Outpatient Clinics | University of Utah Health",73,603,,0,0,,0,0,,0,"Reilly Philliben, DO",20,,0,,0,Specialties,11,"index,follow",,,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u6036234&name=reilly-philliben,,,,,,26484,124,7.448,3,,9,2,0,0.05,38,24,0,13,11,0,,,,,34005d6d1c2b7d092d18bad8723ce1e9,0.563,,,,,1.1,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u6036234,2022-01-31 15:42:03
951,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u0224140,text/html; charset=UTF-8,200,OK,Non-Indexable,Canonicalised,"Amy Thorsen, APRN - Family Medicine , Family Nurse Practitioner , Pediatrics | University of Utah Health",104,923,,0,0,,0,0,,0,"Amy Thorsen, APRN",17,,0,,0,Specialties,11,"index,follow",,,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u0224140&name=amy-thorsen,,,,,,26178,140,7.811,3,,10,2,0,0.05,39,24,0,11,10,0,,,,,6c91f6d0c681172da17b4dab40bf480b,0.222,,,,,1.1,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u0224140,2022-01-31 15:42:04
952,https://healthcare.utah.edu/the-scope/shows.php?shows=1_nhjufe2g,text/html; charset=utf-8,200,OK,Indexable,,What Treatments are Available for Drug-resistant Epilepsy? | University of Utah Health,86,758,,0,0,,0,0,,0,What Treatments are Available for Drug-resistant Epilepsy?,58,,0,Related Podcasts,16,,0,"index,follow",,,,,,,,,46381,2532,33.338,3,,19,7,0,0.18,54,33,0,15,13,0,,,,,12e9ebb47f8fe8cfa3e2fe5f266f063c,1.607,,,,,1.1,https://healthcare.utah.edu/the-scope/shows.php?shows=1_nhjufe2g,2022-01-31 15:42:02
