,Address,Content Type,Status Code,Status,Indexability,Indexability Status,Title 1,Title 1 Length,Title 1 Pixel Width,Meta Description 1,Meta Description 1 Length,Meta Description 1 Pixel Width,Meta Keywords 1,Meta Keywords 1 Length,H1-1,H1-1 Length,H1-2,H1-2 Length,H2-1,H2-1 Length,H2-2,H2-2 Length,Meta Robots 1,X-Robots-Tag 1,Meta Refresh 1,Canonical Link Element 1,"rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1",amphtml Link Element,Size (bytes),Word Count,Text Ratio,Crawl Depth,Link Score,Inlinks,Unique Inlinks,Unique JS Inlinks,% of Total,Outlinks,Unique Outlinks,Unique JS Outlinks,External Outlinks,Unique External Outlinks,Unique External JS Outlinks,Closest Similarity Match,No. Near Duplicates,Spelling Errors,Grammar Errors,Hash,Response Time,Last Modified,Redirect URL,Redirect Type,Cookies,HTTP Version,Search 1: bridge clinic,URL Encoded Address,Crawl Timestamp
172,https://www.westernuhealth.com/pomona/wp-content/uploads/sites/5/2018/10/tooth.png,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,2164,0,0.0,2,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.475,"Mon, 15 Oct 2018 18:40:24 GMT",,,,1.1,0,https://www.westernuhealth.com/pomona/wp-content/uploads/sites/5/2018/10/tooth.png,2021-11-29 14:32:14
173,https://www.westernuhealth.com/pomona/wp-content/uploads/sites/5/images/WesternUHealth.jpg,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,122369,0,0.0,2,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.245,"Thu, 25 Jul 2019 21:01:53 GMT",,,,1.1,0,https://www.westernuhealth.com/pomona/wp-content/uploads/sites/5/images/WesternUHealth.jpg,2021-11-29 14:32:15
176,https://www.westernuhealth.com/wp-content/uploads/pdfs/referral-general-2017.pdf,application/pdf,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,354232,0,0.0,2,,3,3,0,6.25,0,0,0,0,0,0,,,,,,0.243,"Fri, 13 Sep 2019 17:09:36 GMT",,,,1.1,0,https://www.westernuhealth.com/wp-content/uploads/pdfs/referral-general-2017.pdf,2021-11-29 14:32:15
177,https://www.westernuhealth.com/wp-content/uploads/pdfs/child-dental-chinese.pdf,application/pdf,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,2900749,0,0.0,2,,4,4,0,8.33,0,0,0,0,0,0,,,,,,0.31,"Fri, 30 Nov 2018 19:02:17 GMT",,,,1.1,0,https://www.westernuhealth.com/wp-content/uploads/pdfs/child-dental-chinese.pdf,2021-11-29 14:32:15
179,https://www.westernuhealth.com/wp-content/uploads/images/suitcase-32x32.png,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,1030,0,0.0,2,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.297,"Mon, 15 Oct 2018 18:19:56 GMT",,,,1.1,0,https://www.westernuhealth.com/wp-content/uploads/images/suitcase-32x32.png,2021-11-29 14:32:15
180,https://www.westernuhealth.com/wp-content/uploads/images/img-select.jpg,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,66027,0,0.0,2,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.344,"Mon, 30 Sep 2019 19:27:57 GMT",,,,1.1,0,https://www.westernuhealth.com/wp-content/uploads/images/img-select.jpg,2021-11-29 14:32:15
182,https://www.westernuhealth.com/wp-content/uploads/2018/10/thumbnail-1.jpg,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,29770,0,0.0,2,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.505,"Thu, 11 Oct 2018 22:08:35 GMT",,,,1.1,0,https://www.westernuhealth.com/wp-content/uploads/2018/10/thumbnail-1.jpg,2021-11-29 14:32:15
184,http://www.westernuhealth.com/pomona,text/html,301,Moved Permanently,Non-Indexable,Redirected,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,162,0,0.0,2,,1,1,0,2.08,0,0,0,0,0,0,,,,,,0.294,,https://www.westernuhealth.com/pomona,HTTP Redirect,,1.1,0,http://www.westernuhealth.com/pomona,2021-11-29 14:32:15
188,https://www.westernuhealth.com/oliver-station/about-us/,text/html; charset=UTF-8,200,OK,Indexable,,About | WesternU Health | Oliver Station,40,354,,0,0,,0,About,5,,0,,0,,0,max-image-preview:large,,,https://www.westernuhealth.com/oliver-station/about-us/,,,,,,75640,264,2.847,2,,22,6,0,12.5,27,7,0,11,10,0,,,,,99ab305bc45f20af9c6743709edc81a6,0.5,,,,,1.1,0,https://www.westernuhealth.com/oliver-station/about-us/,2021-11-29 14:32:16
189,https://www.westernuhealth.com/wp-content/uploads/pdfs/westernu-health-eci-minor-eng-2019.pdf,application/pdf,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,517565,0,0.0,2,,3,3,0,6.25,0,0,0,0,0,0,,,,,,0.493,"Tue, 29 Oct 2019 21:55:57 GMT",,,,1.1,0,https://www.westernuhealth.com/wp-content/uploads/pdfs/westernu-health-eci-minor-eng-2019.pdf,2021-11-29 14:32:16
190,https://www.westernuhealth.com/oliver-station/wp-content/uploads/sites/12/comp-nw_about2.jpg,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,9823,0,0.0,2,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.267,"Tue, 05 Feb 2019 22:37:44 GMT",,,,1.1,0,https://www.westernuhealth.com/oliver-station/wp-content/uploads/sites/12/comp-nw_about2.jpg,2021-11-29 14:32:16
191,https://www.westernuhealth.com/wp-content/uploads/pdfs/Auth-to-Release-Med-Rec-OUTSIDE-of-WesternU-Spanish-051617.pdf,application/pdf,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,367889,0,0.0,2,,3,3,0,6.25,0,0,0,0,0,0,,,,,,0.254,"Fri, 30 Nov 2018 19:02:12 GMT",,,,1.1,0,https://www.westernuhealth.com/wp-content/uploads/pdfs/Auth-to-Release-Med-Rec-OUTSIDE-of-WesternU-Spanish-051617.pdf,2021-11-29 14:32:16
194,https://www.westernuhealth.com/wecaredental/wp-content/uploads/sites/15/2019/07/wcd-header.jpg,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,252478,0,0.0,2,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.315,"Mon, 15 Jul 2019 21:38:28 GMT",,,,1.1,0,https://www.westernuhealth.com/wecaredental/wp-content/uploads/sites/15/2019/07/wcd-header.jpg,2021-11-29 14:32:17
196,https://www.westernuhealth.com/wp-content/uploads/2018/10/optometry-32x32.png,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,882,0,0.0,2,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.623,"Mon, 15 Oct 2018 18:19:51 GMT",,,,1.1,0,https://www.westernuhealth.com/wp-content/uploads/2018/10/optometry-32x32.png,2021-11-29 14:32:17
201,https://www.westernuhealth.com/wp-content/uploads/images/icon-appointment.png,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,932,0,0.0,2,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.355,"Tue, 23 Feb 2021 00:27:04 GMT",,,,1.1,0,https://www.westernuhealth.com/wp-content/uploads/images/icon-appointment.png,2021-11-29 14:32:17
214,https://www.westernuhealth.com/wp-content/uploads/pdfs/eli-lilly-gpgm-poster-with-site-info-2019-03-13.pdf,application/pdf,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,508631,0,0.0,2,,1,1,0,2.08,0,0,0,0,0,0,,,,,,0.256,"Mon, 30 Sep 2019 19:31:07 GMT",,,,1.1,0,https://www.westernuhealth.com/wp-content/uploads/pdfs/eli-lilly-gpgm-poster-with-site-info-2019-03-13.pdf,2021-11-29 14:32:20
228,https://www.westernuhealth.com/wp-content/uploads/images/icon-Stay_home.png,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,698,0,0.0,2,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.592,"Tue, 23 Feb 2021 00:27:06 GMT",,,,1.1,0,https://www.westernuhealth.com/wp-content/uploads/images/icon-Stay_home.png,2021-11-29 14:32:20
232,https://www.westernuhealth.com/wp-content/uploads/pdfs/notice-of-privacy-practices-spn.pdf,application/pdf,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,183503,0,0.0,2,,6,3,0,6.25,0,0,0,0,0,0,,,,,,0.428,"Thu, 03 Sep 2020 17:30:19 GMT",,,,1.1,0,https://www.westernuhealth.com/wp-content/uploads/pdfs/notice-of-privacy-practices-spn.pdf,2021-11-29 14:32:21
233,https://www.westernuhealth.com/wp-content/uploads/images/stock-photo-medicine-age-health-care-and-2079247.png,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,810835,0,0.0,2,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.525,"Mon, 26 Nov 2018 17:46:03 GMT",,,,1.1,0,https://www.westernuhealth.com/wp-content/uploads/images/stock-photo-medicine-age-health-care-and-2079247.png,2021-11-29 14:32:21
235,https://www.westernuhealth.com/oliver-station/wp-content/uploads/sites/12/WesternU-Health-Oliver-Stn-horz-400w.jpg,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,4888,0,0.0,2,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.961,"Tue, 04 Dec 2018 23:58:32 GMT",,,,1.1,0,https://www.westernuhealth.com/oliver-station/wp-content/uploads/sites/12/WesternU-Health-Oliver-Stn-horz-400w.jpg,2021-11-29 14:32:21
238,https://www.westernuhealth.com/wp-content/uploads/pdfs/Patient-Registration-Packet-PCC-5-2017-ADA.pdf,application/pdf,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,1481796,0,0.0,2,,5,3,0,6.25,0,0,0,0,0,0,,,,,,0.284,"Fri, 30 Nov 2018 19:01:14 GMT",,,,1.1,0,https://www.westernuhealth.com/wp-content/uploads/pdfs/Patient-Registration-Packet-PCC-5-2017-ADA.pdf,2021-11-29 14:32:22
244,https://www.westernuhealth.com/wp-content/uploads/images/marker-wuh-pomona.png,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,900,0,0.0,2,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.453,"Wed, 14 Nov 2018 00:20:39 GMT",,,,1.1,0,https://www.westernuhealth.com/wp-content/uploads/images/marker-wuh-pomona.png,2021-11-29 14:32:23
245,https://www.westernuhealth.com/pomona/services/medical-specialty/,text/html; charset=UTF-8,200,OK,Indexable,,Medical Specialty Care | WesternU Health | Pomona,49,460,,0,0,,0,Medical Specialty Care,22,,0,,0,,0,max-image-preview:large,,,https://www.westernuhealth.com/pomona/services/medical-specialty/,,,,,,82923,958,8.573,2,,53,14,0,29.17,55,16,0,10,9,0,,,,,a2c153a8d0adc152f806941a50fd21cf,0.512,,,,,1.1,0,https://www.westernuhealth.com/pomona/services/medical-specialty/,2021-11-29 14:32:23
250,https://www.westernuhealth.com/pomona/contact/,text/html; charset=UTF-8,200,OK,Indexable,,Contact Us | WesternU Health | Pomona,37,355,,0,0,,0,Contact Us,10,Directions,10,,0,,0,max-image-preview:large,,,https://www.westernuhealth.com/pomona/contact/,,,,,,122216,321,1.94,2,,58,14,0,29.17,40,14,0,12,10,0,,,,,c7aaca69b37412bd74c269bfa9883efa,0.301,,,,,1.1,0,https://www.westernuhealth.com/pomona/contact/,2021-11-29 14:32:25
252,https://www.westernuhealth.com/wp-content/uploads/images/insurance.png,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,1884,0,0.0,2,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.509,"Wed, 10 Oct 2018 20:21:48 GMT",,,,1.1,0,https://www.westernuhealth.com/wp-content/uploads/images/insurance.png,2021-11-29 14:32:26
253,https://www.westernuhealth.com/?page_id=1814,text/html; charset=UTF-8,404,Not Found,Non-Indexable,Client Error,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,0,0,0.0,2,,7,7,0,14.58,0,0,0,0,0,0,,,,,,0.52,,,,,1.1,0,https://www.westernuhealth.com/?page_id=1814,2021-11-29 14:32:26
254,https://www.westernuhealth.com/wp-content/uploads/pdfs/westernu-recruitment-poster-novo-select-2019-2-5-eng.pdf,application/pdf,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,358101,0,0.0,2,,1,1,0,2.08,0,0,0,0,0,0,,,,,,0.959,"Mon, 30 Sep 2019 19:31:35 GMT",,,,1.1,0,https://www.westernuhealth.com/wp-content/uploads/pdfs/westernu-recruitment-poster-novo-select-2019-2-5-eng.pdf,2021-11-29 14:32:25
255,https://www.westernuhealth.com/wp-content/uploads/pdfs/gpgm-surpass-recruitment-brochure-2019-03-13-v3.pdf,application/pdf,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,1571517,0,0.0,2,,1,1,0,2.08,0,0,0,0,0,0,,,,,,0.261,"Mon, 30 Sep 2019 19:31:18 GMT",,,,1.1,0,https://www.westernuhealth.com/wp-content/uploads/pdfs/gpgm-surpass-recruitment-brochure-2019-03-13-v3.pdf,2021-11-29 14:32:26
258,https://www.westernuhealth.com/pomona/wp-content/uploads/sites/5/charity.png,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,1954,0,0.0,2,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.462,"Mon, 03 Dec 2018 20:52:04 GMT",,,,1.1,0,https://www.westernuhealth.com/pomona/wp-content/uploads/sites/5/charity.png,2021-11-29 14:32:26
263,https://www.westernuhealth.com/wp-content/uploads/pdfs/referral-oral-medicine.pdf,application/pdf,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,386239,0,0.0,2,,3,3,0,6.25,0,0,0,0,0,0,,,,,,0.287,"Thu, 07 Nov 2019 17:48:34 GMT",,,,1.1,0,https://www.westernuhealth.com/wp-content/uploads/pdfs/referral-oral-medicine.pdf,2021-11-29 14:32:28
265,https://www.westernuhealth.com/wp-content/uploads/pdfs/Notice-of-Privacy-Practices-SPA-rev-5-2017-Large-Font.pdf,application/pdf,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,155932,0,0.0,2,,3,3,0,6.25,0,0,0,0,0,0,,,,,,0.322,"Fri, 30 Nov 2018 19:01:01 GMT",,,,1.1,0,https://www.westernuhealth.com/wp-content/uploads/pdfs/Notice-of-Privacy-Practices-SPA-rev-5-2017-Large-Font.pdf,2021-11-29 14:32:28
271,https://www.westernuhealth.com/wp-content/uploads/pdfs/Auth-to-Release-Med-Rec-OUTSIDE-of-WesternU-051617.pdf,application/pdf,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,366838,0,0.0,2,,3,3,0,6.25,0,0,0,0,0,0,,,,,,0.321,"Fri, 30 Nov 2018 19:02:06 GMT",,,,1.1,0,https://www.westernuhealth.com/wp-content/uploads/pdfs/Auth-to-Release-Med-Rec-OUTSIDE-of-WesternU-051617.pdf,2021-11-29 14:32:29
272,https://www.westernuhealth.com/wp-content/uploads/images/marker-wuh-os.png,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,1006,0,0.0,2,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.312,"Mon, 19 Nov 2018 21:38:24 GMT",,,,1.1,0,https://www.westernuhealth.com/wp-content/uploads/images/marker-wuh-os.png,2021-11-29 14:32:29
273,https://www.westernuhealth.com/wp-content/uploads/pdfs/patient-registration-packet-pcc-eci-fillable.pdf,application/pdf,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,582871,0,0.0,2,,2,2,0,4.17,0,0,0,0,0,0,,,,,,0.277,"Wed, 20 May 2020 23:16:01 GMT",,,,1.1,0,https://www.westernuhealth.com/wp-content/uploads/pdfs/patient-registration-packet-pcc-eci-fillable.pdf,2021-11-29 14:32:29
278,https://www.westernuhealth.com/wp-content/uploads/images/charity.png,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,1954,0,0.0,2,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.448,"Fri, 09 Nov 2018 23:35:24 GMT",,,,1.1,0,https://www.westernuhealth.com/wp-content/uploads/images/charity.png,2021-11-29 14:32:30
280,https://www.westernuhealth.com/wp-content/uploads/pdfs/Formularios-de-Inscripcion-del-Paciente-Nino.pdf,application/pdf,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,3064021,0,0.0,2,,4,4,0,8.33,0,0,0,0,0,0,,,,,,1.449,"Fri, 30 Nov 2018 19:02:31 GMT",,,,1.1,0,https://www.westernuhealth.com/wp-content/uploads/pdfs/Formularios-de-Inscripcion-del-Paciente-Nino.pdf,2021-11-29 14:32:30
283,https://www.westernuhealth.com/wp-content/uploads/2018/10/thumbnail.jpg,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,30721,0,0.0,2,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.511,"Thu, 11 Oct 2018 22:08:32 GMT",,,,1.1,0,https://www.westernuhealth.com/wp-content/uploads/2018/10/thumbnail.jpg,2021-11-29 14:32:31
286,https://www.westernuhealth.com/wp-content/uploads/images/COMP-mag-Warren-and-White.jpg,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,72126,0,0.0,2,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.371,"Tue, 09 Oct 2018 20:10:50 GMT",,,,1.1,0,https://www.westernuhealth.com/wp-content/uploads/images/COMP-mag-Warren-and-White.jpg,2021-11-29 14:32:32
295,https://www.westernuhealth.com/wp-content/uploads/pdfs/patient-registration-packet-pcc-eci-minor-fillable.pdf,application/pdf,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,491089,0,0.0,2,,2,2,0,4.17,0,0,0,0,0,0,,,,,,0.298,"Wed, 20 May 2020 23:21:20 GMT",,,,1.1,0,https://www.westernuhealth.com/wp-content/uploads/pdfs/patient-registration-packet-pcc-eci-minor-fillable.pdf,2021-11-29 14:32:33
298,https://www.westernuhealth.com/wp-content/uploads/pdfs/surpass-brochure-es-us-2019-03-13-v1.0-2.6.19.pdf,application/pdf,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,5192167,0,0.0,2,,1,1,0,2.08,0,0,0,0,0,0,,,,,,1.439,"Mon, 30 Sep 2019 19:31:26 GMT",,,,1.1,0,https://www.westernuhealth.com/wp-content/uploads/pdfs/surpass-brochure-es-us-2019-03-13-v1.0-2.6.19.pdf,2021-11-29 14:32:33
301,https://www.westernuhealth.com/wp-content/uploads/pdfs/patient-registration-packet-spn.pdf,application/pdf,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,247581,0,0.0,2,,3,3,0,6.25,0,0,0,0,0,0,,,,,,0.51,"Thu, 07 Mar 2019 17:31:38 GMT",,,,1.1,0,https://www.westernuhealth.com/wp-content/uploads/pdfs/patient-registration-packet-spn.pdf,2021-11-29 14:32:34
306,https://www.westernuhealth.com/services/medical-specialty/,text/html; charset=UTF-8,200,OK,Indexable,,Medical Specialty Care | WesternU Health,40,371,,0,0,,0,Medical Specialty Care,22,,0,,0,,0,max-image-preview:large,,,https://www.westernuhealth.com/services/medical-specialty/,,,,,,83613,963,8.568,2,,17,2,0,4.17,63,20,0,9,9,0,,,,,f2d97241012715de4bfa2684337ec00d,0.556,,,,,1.1,0,https://www.westernuhealth.com/services/medical-specialty/,2021-11-29 14:32:34
308,https://www.westernuhealth.com/wecaredental/wp-content/uploads/sites/15/2019/09/westernu-health-rancho-mirage-h.png,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,6355,0,0.0,2,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.253,"Mon, 30 Sep 2019 20:26:52 GMT",,,,1.1,0,https://www.westernuhealth.com/wecaredental/wp-content/uploads/sites/15/2019/09/westernu-health-rancho-mirage-h.png,2021-11-29 14:32:35
309,https://www.westernuhealth.com/wp-content/uploads/pdfs/Registro-del-Paciente-TDC-SP.pdf,application/pdf,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,2803719,0,0.0,2,,4,4,0,8.33,0,0,0,0,0,0,,,,,,0.492,"Fri, 30 Nov 2018 19:01:41 GMT",,,,1.1,0,https://www.westernuhealth.com/wp-content/uploads/pdfs/Registro-del-Paciente-TDC-SP.pdf,2021-11-29 14:32:35
310,https://www.westernuhealth.com/wp-content/uploads/images/medicine-1-32x32.png,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,1034,0,0.0,2,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.322,"Mon, 15 Oct 2018 18:19:55 GMT",,,,1.1,0,https://www.westernuhealth.com/wp-content/uploads/images/medicine-1-32x32.png,2021-11-29 14:32:35
315,https://www.westernuhealth.com/wp-content/uploads/pdfs/travel_health_questionnaire-1.pdf,application/pdf,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,200563,0,0.0,2,,2,2,0,4.17,0,0,0,0,0,0,,,,,,0.263,"Mon, 26 Nov 2018 23:49:44 GMT",,,,1.1,0,https://www.westernuhealth.com/wp-content/uploads/pdfs/travel_health_questionnaire-1.pdf,2021-11-29 14:32:36
317,https://www.westernuhealth.com/wp-content/uploads/images/img-surpass-4.jpg,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,154371,0,0.0,2,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.449,"Mon, 30 Sep 2019 19:27:37 GMT",,,,1.1,0,https://www.westernuhealth.com/wp-content/uploads/images/img-surpass-4.jpg,2021-11-29 14:32:36
322,https://www.westernuhealth.com/oliver-station/patients/,text/html; charset=UTF-8,200,OK,Indexable,,For Appointments | WesternU Health | Oliver Station,51,459,,0,0,,0,For Appointments,16,,0,,0,,0,max-image-preview:large,,,https://www.westernuhealth.com/oliver-station/patients/,,,,,,96952,609,4.22,2,,22,6,0,12.5,31,11,0,11,10,0,,,,,8d57cd341d5e467234ff62dce30e5f2e,0.73,,,,,1.1,0,https://www.westernuhealth.com/oliver-station/patients/,2021-11-29 14:32:37
325,https://www.westernuhealth.com/oliver-station/wp-content/uploads/sites/12/images/IMG_5209.jpg,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,145766,0,0.0,2,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.27,"Fri, 07 Dec 2018 00:48:43 GMT",,,,1.1,0,https://www.westernuhealth.com/oliver-station/wp-content/uploads/sites/12/images/IMG_5209.jpg,2021-11-29 14:32:38
331,https://www.westernuhealth.com/pomona/services/foot-ankle/,text/html; charset=UTF-8,200,OK,Indexable,,Foot & Ankle Services | WesternU Health | Pomona,48,451,,0,0,,0,Foot & Ankle Services,21,,0,,0,,0,max-image-preview:large,,,https://www.westernuhealth.com/pomona/services/foot-ankle/,,,,,,78246,675,5.998,2,,50,14,0,29.17,52,16,0,12,9,0,,,,,5c5e76ee5a25b302071ed0624a4ce96f,0.516,,,,,1.1,0,https://www.westernuhealth.com/pomona/services/foot-ankle/,2021-11-29 14:32:38
332,https://www.westernuhealth.com/wp-content/uploads/images/x-ray-32x32.png,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,1058,0,0.0,2,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.364,"Mon, 15 Oct 2018 18:19:53 GMT",,,,1.1,0,https://www.westernuhealth.com/wp-content/uploads/images/x-ray-32x32.png,2021-11-29 14:32:38
334,https://www.westernuhealth.com/los-angeles/wp-content/uploads/sites/14/optoview12.jpg,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,71940,0,0.0,2,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.544,"Tue, 11 Dec 2018 00:44:44 GMT",,,,1.1,0,https://www.westernuhealth.com/los-angeles/wp-content/uploads/sites/14/optoview12.jpg,2021-11-29 14:32:39
335,https://www.westernuhealth.com/pomona/providers/,text/html; charset=UTF-8,200,OK,Indexable,,Providers | WesternU Health | Pomona,36,341,,0,0,,0,Providers,9,,0,,0,,0,max-image-preview:large,,,https://www.westernuhealth.com/pomona/providers/,,,,,,77667,708,6.347,2,,39,14,0,29.17,48,22,0,10,9,0,,,,,f62d2cac27a7a319f54bf61fa193a610,0.742,,,,,1.1,0,https://www.westernuhealth.com/pomona/providers/,2021-11-29 14:32:39
336,https://www.westernuhealth.com/wp-content/uploads/images/Newcastle.jpg,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,100714,0,0.0,2,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.491,"Tue, 16 Oct 2018 18:52:39 GMT",,,,1.1,0,https://www.westernuhealth.com/wp-content/uploads/images/Newcastle.jpg,2021-11-29 14:32:39
340,https://www.westernuhealth.com/oliver-station/meet-our-team/,text/html; charset=UTF-8,200,OK,Indexable,,Meet Our Team | WesternU Health | Oliver Station,48,441,,0,0,,0,Meet Our Team,13,,0,,0,,0,max-image-preview:large,,,https://www.westernuhealth.com/oliver-station/meet-our-team/,,,,,,69980,316,3.422,2,,29,6,0,12.5,27,7,0,11,10,0,,,,,4739bf875dbd16babff8ca3fbfc651ae,0.536,,,,,1.1,0,https://www.westernuhealth.com/oliver-station/meet-our-team/,2021-11-29 14:32:40
350,https://www.westernuhealth.com/wp-content/uploads/pdfs/patient-registration-packet-pcc-eci-minor-fillable-sp.pdf,application/pdf,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,126561,0,0.0,2,,2,2,0,4.17,0,0,0,0,0,0,,,,,,0.244,"Wed, 20 May 2020 23:22:42 GMT",,,,1.1,0,https://www.westernuhealth.com/wp-content/uploads/pdfs/patient-registration-packet-pcc-eci-minor-fillable-sp.pdf,2021-11-29 14:32:42
351,https://www.westernuhealth.com/wp-content/uploads/pdfs/referral-periodontal-treatment.pdf,application/pdf,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,642164,0,0.0,2,,3,3,0,6.25,0,0,0,0,0,0,,,,,,0.267,"Thu, 07 Nov 2019 17:50:49 GMT",,,,1.1,0,https://www.westernuhealth.com/wp-content/uploads/pdfs/referral-periodontal-treatment.pdf,2021-11-29 14:32:42
