,Address,Content Type,Status Code,Status,Indexability,Indexability Status,Title 1,Title 1 Length,Title 1 Pixel Width,Meta Description 1,Meta Description 1 Length,Meta Description 1 Pixel Width,Meta Keywords 1,Meta Keywords 1 Length,H1-1,H1-1 Length,H2-1,H2-1 Length,H2-2,H2-2 Length,Meta Robots 1,X-Robots-Tag 1,Meta Refresh 1,Canonical Link Element 1,"rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1",amphtml Link Element,Size (bytes),Word Count,Text Ratio,Crawl Depth,Link Score,Inlinks,Unique Inlinks,Unique JS Inlinks,% of Total,Outlinks,Unique Outlinks,Unique JS Outlinks,External Outlinks,Unique External Outlinks,Unique External JS Outlinks,Closest Similarity Match,No. Near Duplicates,Spelling Errors,Grammar Errors,Hash,Response Time,Last Modified,Redirect URL,Redirect Type,Cookies,HTTP Version,URL Encoded Address,Crawl Timestamp
140,https://health.universityofcalifornia.edu/sites/default/files/inline-images/UC-dei-health-sciences-3.jpeg,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,,,,,,,,,2022406,0,0.0,2,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.12,"Wed, 03 Nov 2021 15:38:17 GMT",,,,1.1,https://health.universityofcalifornia.edu/sites/default/files/inline-images/UC-dei-health-sciences-3.jpeg,2022-02-04 10:28:06
141,https://health.universityofcalifornia.edu/sites/default/files/styles/600x450_4_3_/public/2021-05/UC-Riverside-School-of-Medicine.jpg?h=6eb229a4&itok=1uO-MfKG,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,,,,,,,,,52856,0,0.0,2,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.292,"Thu, 04 Nov 2021 01:22:21 GMT",,,,1.1,https://health.universityofcalifornia.edu/sites/default/files/styles/600x450_4_3_/public/2021-05/UC-Riverside-School-of-Medicine.jpg?h=6eb229a4&itok=1uO-MfKG,2022-02-04 10:28:06
142,https://health.universityofcalifornia.edu/sites/default/files/inline-images/Kelsey_Martin_Dean_SOM_UCLA.jpg,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,,,,,,,,,30947,0,0.0,2,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.157,"Wed, 03 Nov 2021 15:38:16 GMT",,,,1.1,https://health.universityofcalifornia.edu/sites/default/files/inline-images/Kelsey_Martin_Dean_SOM_UCLA.jpg,2022-02-04 10:28:07
143,https://health.universityofcalifornia.edu/news/university-california-health-hospitals-recognized-among-best-california-and-nation,text/html; charset=UTF-8,200,OK,Indexable,,University of California Health hospitals recognized among the best in California and the nation | University of California Health,130,1108,,0,0,,0,University of California Health hospitals recognized among the best in California and the nation,96,,0,,0,,,,https://health.universityofcalifornia.edu/news/university-california-health-hospitals-recognized-among-best-california-and-nation,,,,,,43990,1017,17.505,2,,5,4,0,2.61,71,43,0,23,22,0,,,,,ae55dc5140905bf831b960ba9fa3b435,0.225,,,,,1.1,https://health.universityofcalifornia.edu/news/university-california-health-hospitals-recognized-among-best-california-and-nation,2022-02-04 10:28:07
144,https://health.universityofcalifornia.edu/sites/default/files/inline-images/spike-proteins_0.gif,image/gif,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,,,,,,,,,1300211,0,0.0,2,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.092,"Wed, 03 Nov 2021 15:38:24 GMT",,,,1.1,https://health.universityofcalifornia.edu/sites/default/files/inline-images/spike-proteins_0.gif,2022-02-04 10:28:07
145,https://health.universityofcalifornia.edu/sites/default/files/styles/868x488_16_9_/public/2021-07/covid-timeline-twitter.jpg?h=2240b8e9&itok=4NbT0N7N,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,,,,,,,,,40877,0,0.0,2,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.394,"Fri, 05 Nov 2021 11:47:49 GMT",,,,1.1,https://health.universityofcalifornia.edu/sites/default/files/styles/868x488_16_9_/public/2021-07/covid-timeline-twitter.jpg?h=2240b8e9&itok=4NbT0N7N,2022-02-04 10:28:08
146,https://health.universityofcalifornia.edu/sites/default/files/styles/600x450_4_3_/public/2021-05/UC-San-Diego-Health-1.jpg?h=6eb229a4&itok=y2tkPo-o,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,,,,,,,,,44591,0,0.0,2,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.359,"Thu, 04 Nov 2021 12:09:54 GMT",,,,1.1,https://health.universityofcalifornia.edu/sites/default/files/styles/600x450_4_3_/public/2021-05/UC-San-Diego-Health-1.jpg?h=6eb229a4&itok=y2tkPo-o,2022-02-04 10:28:08
147,https://health.universityofcalifornia.edu/sites/default/files/styles/600x450_4_3_/public/2021-06/PCMB9868.jpg?h=a63b2b75&itok=zt2K9Xiz,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,,,,,,,,,45291,0,0.0,2,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.22,"Fri, 05 Nov 2021 23:18:29 GMT",,,,1.1,https://health.universityofcalifornia.edu/sites/default/files/styles/600x450_4_3_/public/2021-06/PCMB9868.jpg?h=a63b2b75&itok=zt2K9Xiz,2022-02-04 10:28:09
148,https://health.universityofcalifornia.edu/sites/default/files/styles/272x204_4_3_/public/2021-04/UC-Riverside-School-of-Medicine.jpg?itok=4kAs-WCn,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,,,,,,,,,11025,0,0.0,2,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.858,"Thu, 04 Nov 2021 04:28:02 GMT",,,,1.1,https://health.universityofcalifornia.edu/sites/default/files/styles/272x204_4_3_/public/2021-04/UC-Riverside-School-of-Medicine.jpg?itok=4kAs-WCn,2022-02-04 10:28:08
149,https://health.universityofcalifornia.edu/sites/default/files/styles/600x450_4_3_/public/2021-05/1280_SQNgadpYEe.jpg?h=6eb229a4&itok=H1XpjP9r,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,,,,,,,,,64990,0,0.0,2,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.16,"Thu, 04 Nov 2021 10:37:10 GMT",,,,1.1,https://health.universityofcalifornia.edu/sites/default/files/styles/600x450_4_3_/public/2021-05/1280_SQNgadpYEe.jpg?h=6eb229a4&itok=H1XpjP9r,2022-02-04 10:28:09
150,https://health.universityofcalifornia.edu/sites/default/files/styles/600x450_4_3_/public/2021-04/UCI-School-of-Pharmacy-Building-rendering_0.jpg?h=6eb229a4&itok=Efcj4JgD,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,,,,,,,,,43637,0,0.0,2,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.17,"Wed, 03 Nov 2021 17:22:23 GMT",,,,1.1,https://health.universityofcalifornia.edu/sites/default/files/styles/600x450_4_3_/public/2021-04/UCI-School-of-Pharmacy-Building-rendering_0.jpg?h=6eb229a4&itok=Efcj4JgD,2022-02-04 10:28:09
151,https://health.universityofcalifornia.edu/sites/default/files/inline-images/HE%20Equity%20Pledge%20Infographics%201.jpg,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,,,,,,,,,3178133,0,0.0,2,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.269,"Wed, 03 Nov 2021 15:38:17 GMT",,,,1.1,https://health.universityofcalifornia.edu/sites/default/files/inline-images/HE%20Equity%20Pledge%20Infographics%201.jpg,2022-02-04 10:28:09
153,https://health.universityofcalifornia.edu/sites/default/files/inline-images/mark_laret.jpg,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,,,,,,,,,422774,0,0.0,2,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.102,"Wed, 03 Nov 2021 15:38:29 GMT",,,,1.1,https://health.universityofcalifornia.edu/sites/default/files/inline-images/mark_laret.jpg,2022-02-04 10:28:11
154,https://health.universityofcalifornia.edu/sites/default/files/styles/max_400/public/2022-01/ELUM_directory_cover.jpg?itok=I5pk9glt,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,,,,,,,,,11352,0,0.0,2,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.404,"Thu, 13 Jan 2022 18:08:04 GMT",,,,1.1,https://health.universityofcalifornia.edu/sites/default/files/styles/max_400/public/2022-01/ELUM_directory_cover.jpg?itok=I5pk9glt,2022-02-04 10:28:11
155,https://health.universityofcalifornia.edu/sites/default/files/inline-images/image002.png,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,,,,,,,,,269490,0,0.0,2,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.15,"Wed, 03 Nov 2021 15:38:28 GMT",,,,1.1,https://health.universityofcalifornia.edu/sites/default/files/inline-images/image002.png,2022-02-04 10:28:11
156,https://health.universityofcalifornia.edu/sites/default/files/styles/600x400/public/2021-04/1280_0FlETHi7C5jQ.jpg?h=10d202d3&itok=ck3POYVc,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,,,,,,,,,24365,0,0.0,2,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.155,"Thu, 04 Nov 2021 10:11:11 GMT",,,,1.1,https://health.universityofcalifornia.edu/sites/default/files/styles/600x400/public/2021-04/1280_0FlETHi7C5jQ.jpg?h=10d202d3&itok=ck3POYVc,2022-02-04 10:28:11
157,https://health.universityofcalifornia.edu/reports/uc-global-health-institute-annual-report-2020-2021,text/html; charset=UTF-8,200,OK,Indexable,,UC Global Health Institute Annual Report 2020-2021 | University of California Health,84,741,,0,0,,0,UC Global Health Institute Annual Report 2020-2021,50,,0,,0,,,,https://health.universityofcalifornia.edu/reports/uc-global-health-institute-annual-report-2020-2021,,,,,,35553,125,5.432,2,,5,3,0,1.96,70,43,0,14,13,0,,,,,56b721c9df458bb55045535504a507ba,0.235,,,,,1.1,https://health.universityofcalifornia.edu/reports/uc-global-health-institute-annual-report-2020-2021,2022-02-04 10:28:11
158,https://health.universityofcalifornia.edu/sites/default/files/styles/max_400/public/2021-05/medical-centers-annual-report-fy-2019-2020.jpg?itok=1Dyx3Gu4,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,,,,,,,,,23680,0,0.0,2,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.314,"Fri, 05 Nov 2021 07:39:31 GMT",,,,1.1,https://health.universityofcalifornia.edu/sites/default/files/styles/max_400/public/2021-05/medical-centers-annual-report-fy-2019-2020.jpg?itok=1Dyx3Gu4,2022-02-04 10:28:11
159,https://health.universityofcalifornia.edu/sites/default/files/inline-images/ucsd-health-staff-vax-site_1.jpg,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,,,,,,,,,217847,0,0.0,2,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.231,"Fri, 05 Nov 2021 23:01:39 GMT",,,,1.1,https://health.universityofcalifornia.edu/sites/default/files/inline-images/ucsd-health-staff-vax-site_1.jpg,2022-02-04 10:28:11
160,https://health.universityofcalifornia.edu/sites/default/files/styles/272x204_4_3_/public/2021-04/1280_0jHjZjVy8hxc.jpg?itok=S1ebJE4e,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,,,,,,,,,11631,0,0.0,2,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.294,"Wed, 03 Nov 2021 15:55:34 GMT",,,,1.1,https://health.universityofcalifornia.edu/sites/default/files/styles/272x204_4_3_/public/2021-04/1280_0jHjZjVy8hxc.jpg?itok=S1ebJE4e,2022-02-04 10:28:11
161,https://health.universityofcalifornia.edu/about-us/economic-impact-california,text/html; charset=UTF-8,200,OK,Indexable,,Economic Impact on California | University of California Health,63,545,"As the largest academic health system in the U.S., University of California Health is a significant part of UC’s economic impact on California.",143,867,,0,Economic Impact on California,29,Interior Menu,13,University of California Overall Economic Impact,48,,,,https://health.universityofcalifornia.edu/about-us/economic-impact-california,,,,,,48990,842,15.28,2,,32,16,0,10.46,109,52,0,15,13,0,,,,,966c9b64a30801bd09091b73bbe1dda3,0.196,,,,,1.1,https://health.universityofcalifornia.edu/about-us/economic-impact-california,2022-02-04 10:28:11
163,https://health.universityofcalifornia.edu/sites/default/files/styles/max_400/public/2021-05/UCH-chart_outpatient%20visits.png?itok=jBDi6me5,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,,,,,,,,,20436,0,0.0,2,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.097,"Wed, 03 Nov 2021 22:55:38 GMT",,,,1.1,https://health.universityofcalifornia.edu/sites/default/files/styles/max_400/public/2021-05/UCH-chart_outpatient%20visits.png?itok=jBDi6me5,2022-02-04 10:28:12
164,https://health.universityofcalifornia.edu/sites/default/files/styles/600x400/public/2021-05/JMC-clouds1.jpg?h=10d202d3&itok=GIrag80T,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,,,,,,,,,49328,0,0.0,2,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.224,"Thu, 04 Nov 2021 04:55:58 GMT",,,,1.1,https://health.universityofcalifornia.edu/sites/default/files/styles/600x400/public/2021-05/JMC-clouds1.jpg?h=10d202d3&itok=GIrag80T,2022-02-04 10:28:12
165,https://health.universityofcalifornia.edu/sites/default/files/styles/868x488_16_9_/public/2021-11/refugee-health-unit-ucsd.jpg?h=b69e0e0e&itok=L455zaG9,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,,,,,,,,,57102,0,0.0,2,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.125,"Fri, 05 Nov 2021 22:21:47 GMT",,,,1.1,https://health.universityofcalifornia.edu/sites/default/files/styles/868x488_16_9_/public/2021-11/refugee-health-unit-ucsd.jpg?h=b69e0e0e&itok=L455zaG9,2022-02-04 10:28:12
168,https://health.universityofcalifornia.edu/sites/default/files/styles/870x580_3_2_/public/2021-05/1280_YEB1FeWF631.jpg?h=8abcec71&itok=kLZVowYD,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,,,,,,,,,56737,0,0.0,2,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.538,"Wed, 03 Nov 2021 15:56:29 GMT",,,,1.1,https://health.universityofcalifornia.edu/sites/default/files/styles/870x580_3_2_/public/2021-05/1280_YEB1FeWF631.jpg?h=8abcec71&itok=kLZVowYD,2022-02-04 10:28:13
169,https://health.universityofcalifornia.edu/sites/default/files/styles/868x488_16_9_/public/2021-05/1280_rfGfvSt0nN.jpg?h=10d202d3&itok=g0eeSfrJ,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,,,,,,,,,35317,0,0.0,2,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.462,"Wed, 03 Nov 2021 17:03:14 GMT",,,,1.1,https://health.universityofcalifornia.edu/sites/default/files/styles/868x488_16_9_/public/2021-05/1280_rfGfvSt0nN.jpg?h=10d202d3&itok=g0eeSfrJ,2022-02-04 10:28:13
170,https://health.universityofcalifornia.edu/dashboards/uch-trained-nurses-california-map,text/html; charset=UTF-8,200,OK,Indexable,,UCH-Trained Nurses in California Map | University of California Health,70,619,,0,0,,0,UCH-Trained Nurses in California Map,36,,0,,0,,,,https://health.universityofcalifornia.edu/dashboards/uch-trained-nurses-california-map,,,,,,33861,83,4.926,2,,6,4,0,2.61,70,43,0,10,9,0,,,,,831b4eb994a59b2bd255a9eca56d9091,0.468,,,,,1.1,https://health.universityofcalifornia.edu/dashboards/uch-trained-nurses-california-map,2022-02-04 10:28:13
171,https://health.universityofcalifornia.edu/sites/default/files/styles/600x450_4_3_/public/2021-04/UC-San-Diego-Public-Health-geisel-library-1.jpg?h=6eb229a4&itok=xbQ4LJ-f,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,,,,,,,,,44005,0,0.0,2,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.114,"Thu, 04 Nov 2021 06:52:24 GMT",,,,1.1,https://health.universityofcalifornia.edu/sites/default/files/styles/600x450_4_3_/public/2021-04/UC-San-Diego-Public-Health-geisel-library-1.jpg?h=6eb229a4&itok=xbQ4LJ-f,2022-02-04 10:28:13
172,https://health.universityofcalifornia.edu/sites/default/files/styles/600x400/public/2021-07/med-prof-patient-at-UCI-hospital.jpeg?h=c9f93661&itok=48_p2b9W,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,,,,,,,,,24580,0,0.0,2,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.411,"Wed, 03 Nov 2021 16:28:42 GMT",,,,1.1,https://health.universityofcalifornia.edu/sites/default/files/styles/600x400/public/2021-07/med-prof-patient-at-UCI-hospital.jpeg?h=c9f93661&itok=48_p2b9W,2022-02-04 10:28:14
173,https://health.universityofcalifornia.edu/sites/default/files/styles/870x580_3_2_/public/2021-07/UCSD_Health_vaccinations_for_patients_over_65.jpg?h=1cafe7cd&itok=iwJ8ENeq,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,,,,,,,,,62021,0,0.0,2,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.296,"Fri, 05 Nov 2021 10:51:01 GMT",,,,1.1,https://health.universityofcalifornia.edu/sites/default/files/styles/870x580_3_2_/public/2021-07/UCSD_Health_vaccinations_for_patients_over_65.jpg?h=1cafe7cd&itok=iwJ8ENeq,2022-02-04 10:28:14
174,https://health.universityofcalifornia.edu/sites/default/files/styles/600x450_4_3_/public/2021-05/1280_02VlRl2clMFo.jpg?h=6eb229a4&itok=15DrGgKn,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,,,,,,,,,77204,0,0.0,2,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.306,"Thu, 04 Nov 2021 12:09:54 GMT",,,,1.1,https://health.universityofcalifornia.edu/sites/default/files/styles/600x450_4_3_/public/2021-05/1280_02VlRl2clMFo.jpg?h=6eb229a4&itok=15DrGgKn,2022-02-04 10:28:14
175,https://health.universityofcalifornia.edu/sites/default/files/inline-images/David%20Brenner.jpg,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,,,,,,,,,6095,0,0.0,2,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.124,"Wed, 03 Nov 2021 15:38:09 GMT",,,,1.1,https://health.universityofcalifornia.edu/sites/default/files/inline-images/David%20Brenner.jpg,2022-02-04 10:28:14
176,https://health.universityofcalifornia.edu/dashboards/uch-cancer-types-treated,text/html; charset=UTF-8,200,OK,Indexable,,UCH Cancer Types Treated | University of California Health,58,524,,0,0,,0,UCH Cancer Types Treated,24,,0,,0,,,,https://health.universityofcalifornia.edu/dashboards/uch-cancer-types-treated,,,,,,33987,85,4.94,2,,5,3,0,1.96,71,44,0,10,9,0,,,,,8e3096fca81793996520b54489e71c51,0.225,,,,,1.1,https://health.universityofcalifornia.edu/dashboards/uch-cancer-types-treated,2022-02-04 10:28:15
177,https://health.universityofcalifornia.edu/sites/default/files/inline-images/Don%20Larsen1.jpg,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,,,,,,,,,55759,0,0.0,2,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.105,"Wed, 03 Nov 2021 15:38:09 GMT",,,,1.1,https://health.universityofcalifornia.edu/sites/default/files/inline-images/Don%20Larsen1.jpg,2022-02-04 10:28:15
179,https://health.universityofcalifornia.edu/media/oembed?url=https%3A//youtu.be/_FTqkHjCez4&max_width=0&max_height=0&hash=roxIxaD_-p4pBXB2RG4K1bVad_UnGnN1fvsCZvboan0,text/html; charset=UTF-8,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,,,,,,,,,11449,0,0.0,2,,0,0,0,0.0,0,0,0,0,0,0,,,,,d547de93e0fe27d9a0e9acaa2710289f,0.443,,,,,1.1,https://health.universityofcalifornia.edu/media/oembed?url=https%3A//youtu.be/_FTqkHjCez4&max_width=0&max_height=0&hash=roxIxaD_-p4pBXB2RG4K1bVad_UnGnN1fvsCZvboan0,2022-02-04 10:28:15
180,https://health.universityofcalifornia.edu/sites/default/files/styles/600x400/public/2021-04/1280_0U1etXB02vXE.jpg?h=10d202d3&itok=PDKonRWm,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,,,,,,,,,32367,0,0.0,2,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.106,"Thu, 04 Nov 2021 00:16:42 GMT",,,,1.1,https://health.universityofcalifornia.edu/sites/default/files/styles/600x400/public/2021-04/1280_0U1etXB02vXE.jpg?h=10d202d3&itok=PDKonRWm,2022-02-04 10:28:16
182,https://health.universityofcalifornia.edu/sites/default/files/styles/600x400/public/2021-04/1280_1aN1iel4MN.jpg?h=10d202d3&itok=2eNa2gCe,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,,,,,,,,,24296,0,0.0,2,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.163,"Wed, 03 Nov 2021 18:49:40 GMT",,,,1.1,https://health.universityofcalifornia.edu/sites/default/files/styles/600x400/public/2021-04/1280_1aN1iel4MN.jpg?h=10d202d3&itok=2eNa2gCe,2022-02-04 10:28:17
183,https://health.universityofcalifornia.edu/news/ucla-alumnus-ardem-patapoutian-shares-2021-nobel-prize-physiology-or-medicine,text/html; charset=UTF-8,200,OK,Indexable,,UCLA alumnus Ardem Patapoutian shares 2021 Nobel Prize in physiology or medicine | University of California Health,114,1039,,0,0,,0,UCLA alumnus Ardem Patapoutian shares 2021 Nobel Prize in physiology or medicine,80,,0,,0,,,,https://health.universityofcalifornia.edu/news/ucla-alumnus-ardem-patapoutian-shares-2021-nobel-prize-physiology-or-medicine,,,,,,42877,673,12.556,2,,6,5,0,3.27,71,44,0,21,18,0,,,,,19f3989b3b51cbe85ab00f604f1522c5,0.186,,,,,1.1,https://health.universityofcalifornia.edu/news/ucla-alumnus-ardem-patapoutian-shares-2021-nobel-prize-physiology-or-medicine,2022-02-04 10:28:17
184,https://health.universityofcalifornia.edu/refer-patient/refer-patient-cardiac-surgery,text/html; charset=UTF-8,200,OK,Indexable,,Refer a Patient - Cardiac Surgery | University of California Health,67,569,,0,0,,0,Refer a Patient - Cardiac Surgery,33,Interior Menu,13,Interior Menu,13,,,,https://health.universityofcalifornia.edu/refer-patient/refer-patient-cardiac-surgery,,,,,,36151,143,6.233,2,,8,4,0,2.61,75,44,0,18,17,0,,,,,fda7ff6d863ec950062580f14016e273,1.376,,,,,1.1,https://health.universityofcalifornia.edu/refer-patient/refer-patient-cardiac-surgery,2022-02-04 10:28:16
185,https://health.universityofcalifornia.edu/news/system?page=0,text/html; charset=UTF-8,200,OK,Non-Indexable,Canonicalised,News Around the System | University of California Health,56,500,,0,0,,0,Latest News from University of California Health,48,,0,,0,,,,https://health.universityofcalifornia.edu/news/system,,,,,,52601,631,10.037,2,,11,7,0,4.58,88,59,0,10,9,0,,,,,5e240b3ddca7feb53e4ade8a1d103186,0.664,,,,,1.1,https://health.universityofcalifornia.edu/news/system?page=0,2022-02-04 10:28:17
186,https://health.universityofcalifornia.edu/dashboards/uch-trained-optometrists-california,text/html; charset=UTF-8,200,OK,Indexable,,UCH-Trained Optometrists in California | University of California Health,72,624,,0,0,,0,UCH-Trained Optometrists in California,38,,0,,0,,,,https://health.universityofcalifornia.edu/dashboards/uch-trained-optometrists-california,,,,,,33945,82,4.92,2,,6,4,0,2.61,70,43,0,10,9,0,,,,,e34548e4a4a11f24ed7c6e11d1f6ddc7,0.394,,,,,1.1,https://health.universityofcalifornia.edu/dashboards/uch-trained-optometrists-california,2022-02-04 10:28:18
187,https://health.universityofcalifornia.edu/news/system?page=2,text/html; charset=UTF-8,200,OK,Non-Indexable,Canonicalised,News Around the System | University of California Health,56,500,,0,0,,0,Latest News from University of California Health,48,,0,,0,,,,https://health.universityofcalifornia.edu/news/system,,,,,,44494,418,8.802,2,,10,7,0,4.58,84,53,0,16,15,0,,,,,5e093e083582b2146dcaad5e2f695780,0.35,,,,,1.1,https://health.universityofcalifornia.edu/news/system?page=2,2022-02-04 10:28:18
188,https://health.universityofcalifornia.edu/sites/default/files/styles/600x400/public/2021-05/_34A4621.jpg?h=1904d2fe&itok=HoiAOoMN,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,,,,,,,,,28813,0,0.0,2,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.329,"Wed, 03 Nov 2021 19:15:49 GMT",,,,1.1,https://health.universityofcalifornia.edu/sites/default/files/styles/600x400/public/2021-05/_34A4621.jpg?h=1904d2fe&itok=HoiAOoMN,2022-02-04 10:28:18
189,https://health.universityofcalifornia.edu/sites/default/files/styles/600x400/public/2021-11/Return-to-Learn1.jpg?h=252f27fa&itok=eSQEIyL1,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,,,,,,,,,40411,0,0.0,2,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.171,"Mon, 22 Nov 2021 18:50:20 GMT",,,,1.1,https://health.universityofcalifornia.edu/sites/default/files/styles/600x400/public/2021-11/Return-to-Learn1.jpg?h=252f27fa&itok=eSQEIyL1,2022-02-04 10:28:19
190,https://health.universityofcalifornia.edu/news/system?page=1,text/html; charset=UTF-8,200,OK,Non-Indexable,Canonicalised,News Around the System | University of California Health,56,500,,0,0,,0,Latest News from University of California Health,48,,0,,0,,,,https://health.universityofcalifornia.edu/news/system,,,,,,48593,537,9.644,2,,11,7,0,4.58,87,55,0,13,12,0,,,,,723047f4f38091c646bfbe1a3ada79f9,0.506,,,,,1.1,https://health.universityofcalifornia.edu/news/system?page=1,2022-02-04 10:28:18
191,https://health.universityofcalifornia.edu/sites/default/files/styles/600x400/public/2021-04/UC-CancerConsortium.jpg?h=d85312b9&itok=OUoj9BTQ,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,,,,,,,,,36816,0,0.0,2,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.181,"Thu, 04 Nov 2021 15:53:09 GMT",,,,1.1,https://health.universityofcalifornia.edu/sites/default/files/styles/600x400/public/2021-04/UC-CancerConsortium.jpg?h=d85312b9&itok=OUoj9BTQ,2022-02-04 10:28:19
194,https://health.universityofcalifornia.edu/sites/default/files/styles/600x400/public/2021-10/ardem-patapoutian.jpeg?h=75334513&itok=kPhthvVP,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,,,,,,,,,20494,0,0.0,2,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.212,"Wed, 03 Nov 2021 16:28:42 GMT",,,,1.1,https://health.universityofcalifornia.edu/sites/default/files/styles/600x400/public/2021-10/ardem-patapoutian.jpeg?h=75334513&itok=kPhthvVP,2022-02-04 10:28:19
195,https://health.universityofcalifornia.edu/sites/default/files/styles/868x488_16_9_/public/2021-04/UC-Berkely-School-Optometry-1.jpg?h=10d202d3&itok=4BkXF7t-,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,,,,,,,,,120288,0,0.0,2,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.15,"Thu, 04 Nov 2021 04:31:03 GMT",,,,1.1,https://health.universityofcalifornia.edu/sites/default/files/styles/868x488_16_9_/public/2021-04/UC-Berkely-School-Optometry-1.jpg?h=10d202d3&itok=4BkXF7t-,2022-02-04 10:28:19
